vocabulary,ch_meaning,en_meaning,equation_1,equation_2,list,id
aberrant,adj.异常的，非常规的,deviating,,,,1
abjure,v.发誓放弃；v.抵制，避免,1. rejecting; 2. resist,,,,3
abnegate,v.否认,"deny, renounce",,,,4
aboveboard,adj.无欺诈的，光明正大的,free from deceit or duplicity,,,,5
abundant,adj.大量的,great plenty,,,,8
acquainted,adj.熟悉的,having information,,,,9
accessory,adj.辅助的，附属的,"secondary, supplementary",,,,11
accidental,adj.意外发生的，偶然的,unexpectedly,,,,12
accumulate,vi.逐渐增长,increase gradually,,,,14
acquiesce,v.勉强同意；默许,accept tacitly or passively,,,,15
acrid,adj.刻薄的,cause hurt feeling,,,,16
acrimonious,adj.刻薄的，充满仇恨的,deep-seated resentment,,,,17
adapt,v.修改，使(适应),modify,,,,18
addict,v.沉溺，上瘾；n.对某事上瘾的人,1. surrender obsessively; 2. habitual liking,,,,19
ad-lib,adj.即兴的,without previous preparation,,,,20
adulate,v.极度谄媚，拍马屁,praise too much,,,,21
adulterate,vt.掺杂，加入低等成分,impure by addition,,,,22
adumbrate,vt.预示着,give a slight indication,,,,23
adventitious,adj.外来的，后天的，非内在的,not inherent or innate,,,,24
adversary,n.敌手，对手,resists; enemy,,,,25
advert,vi.引起注意；提到,refer,,,,26
aggregate,n.集合体；v.集合，聚集,1. units or parts; 2. collect or gather,,,,28
aggressive,adj.好斗的；adj.强有力的，强烈的,1. attack; 2. forcefulness,,,,29
alibi,n.不在场的证明；托辞，借口,excuse,,,,30
alienate,v.使…疏远,"unfriendly, hostile, indifferent",,,,31
align,v.调准，校准,adjust,,,,32
ally,n.盟友，支持者；v.加入联盟,1. association; 2. enter,,,,33
aloft,adv.在空中,in flight,,,,34
altruism,n.利他主义，无私,unselfish,,,,36
amalgamate,v.合并，混合,"combine, unite",,,,37
amble,vi./n.漫步，闲逛,walk slowly or leisurely,,,,38
contaminate,v.污染，感染,stain,,,,39
accede,v.赞成,approval or conscent,accede = agree + consent,accede = assume + attain,list2,40
